#metadataBlock	name	dataverseAlias	displayName	blockURI												
	ProMetaSImage		ProMetaS Image Metadata													
#datasetField	name	title	description	watermark	fieldType	displayOrder	displayFormat	advancedSearchField	allowControlledVocabulary	allowmultiples	facetable	displayoncreate	required	parent	metadatablock_id	termURI
	exif.imagePhotometricInterpretation	Image Photometric Interpretation	Specifies the intended interpretation of the pixel data. Pixel Composition. (eg: RGB)		none	30	#VALUE	TRUE	FALSE	FALSE	TRUE	TRUE	FALSE		ProMetaSImage	https://exiftool.org/TagNames/EXIF.html#photometricInterpretation
	exif.imageAdditionalInformation	Image Additional Information	Additional information regarding the Image Dataset		textbox	31	#VALUE	TRUE	FALSE	FALSE	TRUE	TRUE	FALSE		ProMetaSImage	https://prometas.zih.tu-dresden.de/ImageAdditionalInformation
#controlledVocabulary	DatasetField	Value	identifier	displayOrder												
	exif.imageExposureProgram	Manual	1	0												
	exif.imageExposureProgram	Program AE	2	1												
	exif.imageExposureProgram	Aperture-priority AE	3	2												
	exif.imageExposureProgram	Shutter speed priority AE	4	3												
	exif.imageExposureProgram	Creative (Slow speed)	5	4												
	exif.imageExposureProgram	Action (High speed)	6	5												
	exif.imageExposureProgram	Portrait	7	6												
	exif.imageExposureProgram	Landscape	8	7												
	exif.imageExposureProgram	Bulb	9	8												
	exif.imageExposureProgram	Not defined	10	9												
	exif.imagePhotometricInterpretation	WhiteIsZero	11	0												
	exif.imagePhotometricInterpretation	BlackIsZero	12	1												
	exif.imagePhotometricInterpretation	RGB	13	2												
	exif.imagePhotometricInterpretation	RGB Palette	14	3												
	exif.imagePhotometricInterpretation	Transparency Mask	15	4												
	exif.imagePhotometricInterpretation	CMYK	16	5												
	exif.imagePhotometricInterpretation	YCbCr	17	6												
	exif.imagePhotometricInterpretation	CIELab	18	7												
	exif.imagePhotometricInterpretation	ICCLab	19	8												
	exif.imagePhotometricInterpretation	ITULab	20	9												
	exif.imagePhotometricInterpretation	Color Filter Array	21	10												
	exif.imagePhotometricInterpretation	Pixar LogL	22	11												
	exif.imagePhotometricInterpretation	Pixar LogLuv	23	12												
	exif.imagePhotometricInterpretation	Sequential Color Filter	24	13												
	exif.imagePhotometricInterpretation	Linear Raw	25	14												
	exif.imagePhotometricInterpretation	Depth Map	26	15												
	exif.imagePhotometricInterpretation	Semantic Mask	27	16												
	exif.imageExposureMode	Auto	28	0												
	exif.imageExposureMode	Manual	29	1												
	exif.imageExposureMode	Auto Bracket	30	2												
	exif.imageWhiteBalance	Auto	31	0												
	exif.imageWhiteBalance	Manual	32	1												
